"id","boost","city_id","classify","column_id","create_time","focus_img","level","origin","pub_time","sens","similarity_label","site_classify","site_id","source","title","url","province","date","nature","score","seq","word"
"108752","4","210","文化","34852","30/9/2020 10:15:02",,"2","安溪新闻网","26/5/2020 11:44:01","100","0","11","451","安溪报","虎邱镇“接二连三”打造“茶农旅”融合特色镇","http://www.anxinews.com/content/2020-05/26/content_6073128.htm","13",,,"0","0",
"108753","4","0","综合","34851","30/9/2020 10:15:03",,"0","中共中央党校","30/9/2020 10:14:55","92","0","3","1059","学习时报","做到“两个维护”走好“第一方阵”","http://www.ccps.gov.cn/xwpd/jgdj/202009/t20200904_143148.shtml","0",,,"0","0",
"108754","4","210","文化","34852","30/9/2020 10:15:04",,"2","安溪新闻网","26/5/2020 11:41:32","90","0","11","451","安溪报","“安溪铁观音·感德茶馆”揭牌运营","http://www.anxinews.com/content/2020-05/26/content_6073127.htm","13",,,"0","0",
"108755","4","0","综合","34851","30/9/2020 10:15:06",,"0","中共中央党校","30/9/2020 10:14:56","100","0","3","1059","学习时报","党校人要着力提高政治能力","http://www.ccps.gov.cn/xwpd/jgdj/202008/t20200828_142965.shtml","0",,,"0","0",
"108756","4","210","时事","34849","30/9/2020 10:15:09",,"2","安溪新闻网","13/8/2020 17:11:06","8","0","11","451","央视网","【央视快评】在全社会营造浪费可耻节约为荣的氛围","http://www.anxinews.com/content/2020-08/13/content_6085825.htm","13",,,"0","0",
"108757","4","210","文化","34852","30/9/2020 10:15:09",,"2","安溪新闻网","26/5/2020 11:38:26","53","0","11","451","安溪报","“禹洲·溪山墅杯”茶王赛征集茶样","http://www.anxinews.com/content/2020-05/26/content_6073125.htm","13",,,"0","0",
"108758","4","0","综合","34851","30/9/2020 10:15:10",,"0","中共中央党校","30/9/2020 10:14:57","99","0","3","1059","学习时报","崇实尚行建设政治机关和模范机关","http://www.ccps.gov.cn/xwpd/jgdj/202008/t20200828_142956.shtml","0",,,"0","0",
"108759","4","0","时事","34850","30/9/2020 10:15:10",,"0","中共中央党校","30/9/2020 10:14:59","100","0","3","1059","中央党校","献礼建党100周年，百集纪录微电影《初心》正式启动","http://www.ccps.gov.cn/xwpd/dwjl/202009/t20200908_143248.shtml","0",,,"0","0",
"108760","4","210","时事","34849","30/9/2020 10:15:11",,"2","安溪新闻网","22/6/2020 09:40:45","100","0","11","451","东南网","省政协党组理论学习中心组召开学习（扩大）会议","http://www.anxinews.com/content/2020-06/22/content_6077590.htm","13",,,"0","0",
"108761","4","210","文化","34852","30/9/2020 10:15:11",,"2","安溪新闻网","15/5/2020 10:08:54","96","0","11","451","安溪报","县领导带货直播助力春茶销售","http://www.anxinews.com/content/2020-05/15/content_6071348.htm","13",,,"0","0",
"108762","4","210","文化","34852","30/9/2020 10:15:13",,"2","安溪新闻网","2/5/2020 10:10:11","100","0","11","451","安溪报","2020安溪开茶节在西坪举办","http://www.anxinews.com/content/2020-05/02/content_6069174.htm","13",,,"0","0",
